phase,variant,checkpoint_name,decode_mode,metric_name,case_metric_rows,case_count,dice_mean,hd95_mean,hd95_worst,remote_fp_mean,status
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_4998,argmax,myops_edema,44,44,0.6922005208886235,46.36051829993813,174.9773021615425,10.409090909090908,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_4998,pathology_aware,myops_scar,44,44,0.1477981596786292,141.47491627689826,233.784474338172,36.18181818181818,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_4998,pathology_aware,myops_edema,44,44,0.7006469397887233,46.188493747089225,174.97580919490204,10.363636363636363,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_6664,argmax,myops_scar,44,44,0.15797579832525957,133.39765031758017,249.65748933633338,29.15909090909091,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_6664,argmax,myops_edema,44,44,0.6637426519619409,52.81012333370064,188.05203817621074,30.068181818181817,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_6664,pathology_aware,myops_scar,44,44,0.1784335814262806,131.66945278348956,249.62119736736207,29.5,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_6664,pathology_aware,myops_edema,44,44,0.6727533298072014,52.715686774103695,187.99917430583008,30.045454545454547,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_8330,argmax,myops_scar,44,44,0.15289459188188081,138.1523081258088,299.4711961390586,30.477272727272727,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_8330,argmax,myops_edema,44,44,0.6650415904138476,56.256068342584854,209.88439074743576,44.54545454545455,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_8330,pathology_aware,myops_scar,44,44,0.1746544516650197,138.36341150656483,308.83383212749237,31.954545454545453,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_8330,pathology_aware,myops_edema,44,44,0.673055818368619,56.151356924312,209.31212410962843,44.75,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_9996,argmax,myops_scar,44,44,0.20610356706474675,122.63443611562855,239.62481691337527,31.204545454545453,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_9996,argmax,myops_edema,44,44,0.6635378842338655,53.30632772163467,181.6688746668428,40.38636363636363,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_9996,pathology_aware,myops_scar,44,44,0.22681887094327047,122.45666293869752,239.78491823372127,31.977272727272727,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_9996,pathology_aware,myops_edema,44,44,0.6684231752360669,53.58505945504578,181.63036578642848,46.11363636363637,RUNTIME_METRICS
