baseline_component_count_mean,baseline_dice_mean,baseline_empty_prediction_rate,baseline_hd95_mean,baseline_hd_mean,baseline_pred_gt_volume_ratio_mean,baseline_remote_fp_mean,baseline_small_fp_mean,candidate_component_count_mean,candidate_dice_mean,candidate_empty_prediction_rate,candidate_hd95_mean,candidate_hd_mean,candidate_pred_gt_volume_ratio_mean,candidate_remote_fp_mean,candidate_small_fp_mean,class_id,delta_component_count_mean_improvement,delta_dice_mean,delta_empty_prediction_rate_improvement,delta_hd95_mean_improvement,delta_hd_mean_improvement,delta_pred_gt_volume_ratio_mean,delta_remote_fp_mean_improvement,delta_small_fp_mean_improvement,group,metric_name,variant
9.125,0.3944358976789887,0.0,20.011536366061485,29.60888731738582,1.6121482631185355,0.125,5.125,9.125,0.3944358976789887,0.0,20.011536366061485,29.60888731738582,1.6121482631185355,0.125,5.125,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete_modality,myops_edema,nnunet_component_score_refiner
9.125,0.3944358976789887,0.0,20.011536366061485,29.60888731738582,1.6121482631185355,0.125,5.125,9.125,0.3944358976789887,0.0,20.011536366061485,29.60888731738582,1.6121482631185355,0.125,5.125,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gt_positive_only,myops_edema,nnunet_component_score_refiner
0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,no_T2_empty_GT,myops_edema,nnunet_component_score_refiner
9.125,0.3944358976789887,0.0,20.011536366061485,29.60888731738582,1.6121482631185355,0.125,5.125,9.125,0.3944358976789887,0.0,20.011536366061485,29.60888731738582,1.6121482631185355,0.125,5.125,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t2_present,myops_edema,nnunet_component_score_refiner
2.2857142857142856,0.6131815991584468,0.0,12.440137428805636,22.295908965464097,0.9393918668686351,0.0,0.8571428571428571,2.2857142857142856,0.6131815991584468,0.0,12.440137428805636,22.295908965464097,0.9393918668686351,0.0,0.8571428571428571,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CenterB,myops_scar,nnunet_component_score_refiner
1.5555555555555556,0.7556758410852353,0.0,6.799401617662012,22.899671694698274,0.958832990880399,0.3333333333333333,0.3333333333333333,1.5555555555555556,0.7556758410852353,0.0,6.799401617662012,22.899671694698274,0.958832990880399,0.3333333333333333,0.3333333333333333,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CenterC,myops_scar,nnunet_component_score_refiner
6.041666666666667,0.5017892925791079,0.041666666666666664,16.875689912336288,28.632545887828623,1.3199311129477658,0.25,3.5416666666666665,5.916666666666667,0.5018178611836215,0.041666666666666664,16.943486052056027,28.66607030962621,1.3198328753756028,0.25,3.4166666666666665,5,0.125,2.8568604513612428e-05,0.0,-0.0677961397197393,-0.03352442179758697,-9.823757216298468e-05,0.0,0.125,LGE-only,myops_scar,nnunet_component_score_refiner
4.681818181818182,0.5601692281262312,0.022727272727272728,13.600533414596173,25.970645720273883,1.1342902419246623,0.36363636363636365,2.5454545454545454,4.613636363636363,0.5601848110014205,0.022727272727272728,13.637659872061743,25.989004332210655,1.1342354116518272,0.36363636363636365,2.477272727272727,5,0.06818181818181834,1.5582875189323886e-05,0.0,-0.037126457465570084,-0.018358611936772462,-5.4830272835149074e-05,0.0,0.06818181818181834,all_cases,myops_scar,nnunet_component_score_refiner
1.875,0.6933346102422654,0.0,9.267223535037347,22.63552550065832,0.9503274991252523,0.1875,0.5625,1.875,0.6933346102422654,0.0,9.267223535037347,22.63552550065832,0.9503274991252523,0.1875,0.5625,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete_modality,myops_scar,nnunet_component_score_refiner
4.627906976744186,0.573196419478004,0.023255813953488372,13.600533414596173,25.970645720273883,1.1342902419246623,0.20930232558139536,2.4651162790697674,4.558139534883721,0.5732123647456395,0.023255813953488372,13.637659872061743,25.989004332210655,1.1342354116518272,0.20930232558139536,2.395348837209302,5,0.06976744186046524,1.5945267635486537e-05,0.0,-0.037126457465570084,-0.018358611936772462,-5.4830272835149074e-05,0.0,0.06976744186046524,gt_positive_only,myops_scar,nnunet_component_score_refiner
7.0,0.0,0.0,,,,7.0,6.0,7.0,0.0,0.0,,,,7.0,6.0,5,0.0,0.0,0.0,,,,0.0,0.0,no_T2_empty_GT,myops_scar,nnunet_component_score_refiner
1.875,0.6933346102422654,0.0,9.267223535037347,22.63552550065832,0.9503274991252523,0.1875,0.5625,1.875,0.6933346102422654,0.0,9.267223535037347,22.63552550065832,0.9503274991252523,0.1875,0.5625,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t2_present,myops_scar,nnunet_component_score_refiner
7.714285714285714,0.5029744773313501,0.0,15.933514343740368,24.05449355554381,0.915974670131474,0.0,3.2857142857142856,7.285714285714286,0.5088830560521207,0.0,15.802940260957461,24.032016435208206,0.951747601863496,0.0,3.142857142857143,4,0.4285714285714288,0.005908578720770552,0.0,0.13057408278290694,0.022477120335604894,0.035772931732022006,0.0,0.1428571428571428,CenterB,myops_edema,scar_precision_edema_recall_dual_refiner
10.222222222222221,0.3100170023938187,0.0,23.18333127231124,33.92897135437405,2.1536166132195835,0.2222222222222222,6.555555555555555,9.777777777777779,0.31071794451956636,0.0,23.374365825716012,33.911187056395185,2.2565244570710288,0.2222222222222222,6.111111111111111,4,0.44444444444444287,0.0007009421257476722,0.0,-0.19103455340477282,0.017784297978863606,0.10290784385144525,0.0,0.44444444444444464,CenterC,myops_edema,scar_precision_edema_recall_dual_refiner
0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,LGE-only,myops_edema,scar_precision_edema_recall_dual_refiner
3.3181818181818183,0.7797948718832686,0.6363636363636364,7.276922314931449,10.766868115413025,1.6121482631185355,0.045454545454545456,1.8636363636363635,3.159090909090909,0.7808782475691123,0.6363636363636364,7.295224414957871,10.759654512591231,1.6856845829177332,0.045454545454545456,1.75,4,0.15909090909090917,0.0010833756858437127,0.0,-0.018302100026422075,0.007213602821794396,0.07353631979919761,0.0,0.11363636363636354,all_cases,myops_edema,scar_precision_edema_recall_dual_refiner
9.125,0.3944358976789887,0.0,20.011536366061485,29.60888731738582,1.6121482631185355,0.125,5.125,8.6875,0.39741518081505883,0.0,20.061867141134147,29.589049909625885,1.6856845829177332,0.125,4.8125,4,0.4375,0.0029792831360701544,0.0,-0.0503307750726627,0.019837407759933257,0.07353631979919761,0.0,0.3125,complete_modality,myops_edema,scar_precision_edema_recall_dual_refiner
