case_id,mode,center,modality_group,t2_present,active_slice_count,all_depth_slice_count,supported_slice_count,raw_valid_angle_fraction,valid_angle_fraction,valid_angle_fraction_supported,valid_slice_fraction_all_depth,valid_slice_fraction_supported,geometry_valid,wall_roundtrip_dice,wall_roundtrip_hd95_mm,centroid_inside_lv_fraction,ray_no_crossing_fraction,ray_single_crossing_fraction,ray_multi_crossing_fraction,failed_slice_reason_counts
Case3027,G1_GT_anatomy,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9955357142857143,0.004464285714285714,"{""unsupported_slice"": 6}"
Case3027,G2_supported_denominator,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9997209821428571,0.00027901785714285713,"{""unsupported_slice"": 6}"
Case3027,G3_repaired_predicted,CenterC,C0+LGE+T2,True,14,20,14,0.37527901785714285,0.3900669642857143,0.3900669642857143,0.25,0.35714285714285715,False,0.48988089474193863,10.488088481701515,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 9, ""unsupported_slice"": 6}"
Case3029,G0_current_predicted,CenterC,C0+LGE+T2,True,12,20,12,0.9202473958333334,0.9225260416666666,0.9225260416666666,0.6,1.0,False,0.9988257899231426,0.0,1.0,0.0546875,0.9108072916666666,0.034505208333333336,"{""unsupported_slice"": 8}"
Case3029,G1_GT_anatomy,CenterC,C0+LGE+T2,True,12,20,12,0.9192708333333334,0.9212239583333334,0.9212239583333334,0.6,1.0,False,0.9989196197061365,0.0,1.0,0.060546875,0.896484375,0.04296875,"{""unsupported_slice"": 8}"
Case3029,G2_supported_denominator,CenterC,C0+LGE+T2,True,12,20,12,0.9202473958333334,0.9225260416666666,0.9225260416666666,0.6,1.0,False,0.998468606431853,0.0,1.0,0.0546875,0.9108072916666666,0.034505208333333336,"{""unsupported_slice"": 8}"
Case3029,G3_repaired_predicted,CenterC,C0+LGE+T2,True,12,20,12,0.6328125,0.6350911458333334,0.6350911458333334,0.5,0.8333333333333334,False,0.6854807318022577,5.744562646538029,1.0,0.054361979166666664,0.9130859375,0.032552083333333336,"{""low_valid_angle_slice"": 2, ""unsupported_slice"": 8}"
Case3032,G0_current_predicted,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,0.9999663424320958,0.0,1.0,0.0,0.9972098214285714,0.0027901785714285715,"{""unsupported_slice"": 6}"
Case3032,G1_GT_anatomy,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9958147321428571,0.004185267857142857,"{""unsupported_slice"": 6}"
Case3032,G2_supported_denominator,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9972098214285714,0.0027901785714285715,"{""unsupported_slice"": 6}"
Case3032,G3_repaired_predicted,CenterC,C0+LGE+T2,True,14,20,14,0.7681361607142857,0.7681361607142857,0.7681361607142857,0.7,1.0,False,0.8260848854380032,4.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case3040,G0_current_predicted,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9963727678571429,0.003627232142857143,"{""unsupported_slice"": 6}"
Case3040,G1_GT_anatomy,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9963727678571429,0.003627232142857143,"{""unsupported_slice"": 6}"
Case3040,G2_supported_denominator,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9963727678571429,0.003627232142857143,"{""unsupported_slice"": 6}"
Case3040,G3_repaired_predicted,CenterC,C0+LGE+T2,True,14,20,14,0.6752232142857143,0.6752232142857143,0.6752232142857143,0.45,0.6428571428571429,False,0.736086933586538,6.164414002968976,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 5, ""unsupported_slice"": 6}"
Case3045,G0_current_predicted,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9969308035714286,0.0030691964285714285,"{""unsupported_slice"": 6}"
Case3045,G1_GT_anatomy,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9966517857142857,0.0033482142857142855,"{""unsupported_slice"": 6}"
Case3045,G2_supported_denominator,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9969308035714286,0.0030691964285714285,"{""unsupported_slice"": 6}"
Case3045,G3_repaired_predicted,CenterC,C0+LGE+T2,True,14,20,14,0.49051339285714285,0.5069754464285714,0.5069754464285714,0.25,0.35714285714285715,False,0.5764718603016705,9.0,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 9, ""unsupported_slice"": 6}"
Case5001,G0_current_predicted,CenterE,C0+LGE,False,10,20,10,1.0,1.0,1.0,0.5,1.0,True,0.9998638776714007,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 10}"
Case5001,G1_GT_anatomy,CenterE,C0+LGE,False,10,20,10,0.9953125,1.0,1.0,0.5,1.0,True,0.9995501574448943,0.0,1.0,0.0,0.99921875,0.00078125,"{""unsupported_slice"": 10}"
Case5001,G2_supported_denominator,CenterE,C0+LGE,False,10,20,10,1.0,1.0,1.0,0.5,1.0,True,0.9998657778175473,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 10}"
Case5001,G3_repaired_predicted,CenterE,C0+LGE,False,10,20,10,0.219140625,0.219140625,0.219140625,0.1,0.2,False,0.2518693427784337,11.313708498984761,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 8, ""unsupported_slice"": 10}"
Case5002,G0_current_predicted,CenterE,C0+LGE,False,12,20,12,1.0,1.0,1.0,0.6,1.0,True,0.9999714457040062,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 8}"
Case5002,G1_GT_anatomy,CenterE,C0+LGE,False,12,20,12,1.0,1.0,1.0,0.6,1.0,True,0.9999419043746006,0.0,1.0,0.0,0.9967447916666666,0.0032552083333333335,"{""unsupported_slice"": 8}"
Case5002,G2_supported_denominator,CenterE,C0+LGE,False,12,20,12,1.0,1.0,1.0,0.6,1.0,True,0.9999718127237365,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 8}"
Case5002,G3_repaired_predicted,CenterE,C0+LGE,False,12,20,12,0.0,0.0,0.0,0.0,0.0,False,0.0,,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 12, ""unsupported_slice"": 8}"
Case5005,G0_current_predicted,CenterE,C0+LGE,False,12,20,12,1.0,1.0,1.0,0.6,1.0,True,0.9997516453495592,0.0,1.0,0.0,0.9996744791666666,0.0003255208333333333,"{""unsupported_slice"": 8}"
Case5005,G1_GT_anatomy,CenterE,C0+LGE,False,12,20,12,0.9993489583333334,1.0,1.0,0.6,1.0,True,0.9997510166818823,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 8}"
Case5005,G2_supported_denominator,CenterE,C0+LGE,False,12,20,12,1.0,1.0,1.0,0.6,1.0,True,0.9997747609394516,0.0,1.0,0.0,0.9996744791666666,0.0003255208333333333,"{""unsupported_slice"": 8}"
Case5005,G3_repaired_predicted,CenterE,C0+LGE,False,12,20,12,0.0,0.0,0.0,0.0,0.0,False,0.0,,1.0,0.0,0.9996744791666666,0.0003255208333333333,"{""low_valid_angle_slice"": 12, ""unsupported_slice"": 8}"
Case6005,G0_current_predicted,CenterF,C0+LGE,False,13,20,13,0.9618389423076923,0.9618389423076923,0.9618389423076923,0.65,1.0,True,0.9984794112280275,0.0,1.0,0.033052884615384616,0.9663461538461539,0.0006009615384615385,"{""unsupported_slice"": 7}"
Case6005,G1_GT_anatomy,CenterF,C0+LGE,False,13,20,13,0.9603365384615384,0.9615384615384616,0.9615384615384616,0.65,1.0,True,0.9964076384949896,0.0,1.0,0.03365384615384615,0.9663461538461539,0.0,"{""unsupported_slice"": 7}"
Case6005,G2_supported_denominator,CenterF,C0+LGE,False,13,20,13,0.9618389423076923,0.9618389423076923,0.9618389423076923,0.65,1.0,True,0.9984412470023981,0.0,1.0,0.033052884615384616,0.9663461538461539,0.0006009615384615385,"{""unsupported_slice"": 7}"
Case6005,G3_repaired_predicted,CenterF,C0+LGE,False,13,20,13,0.7905649038461539,0.7980769230769231,0.7980769230769231,0.65,1.0,False,0.8476514891090347,3.0,1.0,0.03245192307692308,0.9669471153846154,0.0006009615384615385,"{""unsupported_slice"": 7}"
Case6008,G0_current_predicted,CenterF,C0+LGE,False,18,20,18,0.9728732638888888,0.9728732638888888,0.9728732638888888,0.9,1.0,True,0.9999075016187217,0.0,1.0,0.025824652777777776,0.9737413194444444,0.00043402777777777775,"{""unsupported_slice"": 2}"
Case6008,G1_GT_anatomy,CenterF,C0+LGE,False,18,20,18,0.97265625,0.9756944444444444,0.9756944444444444,0.9,1.0,True,0.9996454080340408,0.0,1.0,0.024305555555555556,0.9752604166666666,0.00043402777777777775,"{""unsupported_slice"": 2}"
Case6008,G2_supported_denominator,CenterF,C0+LGE,False,18,20,18,0.9728732638888888,0.9728732638888888,0.9728732638888888,0.9,1.0,True,0.9998865930277393,0.0,1.0,0.025824652777777776,0.9737413194444444,0.00043402777777777775,"{""unsupported_slice"": 2}"
Case6008,G3_repaired_predicted,CenterF,C0+LGE,False,18,20,18,0.220703125,0.220703125,0.220703125,0.2,0.2222222222222222,False,0.17977443325412093,18.794942601598645,1.0,0.025607638888888888,0.9743923611111112,0.0,"{""low_valid_angle_slice"": 14, ""unsupported_slice"": 2}"
Case6009,G0_current_predicted,CenterF,C0+LGE,False,14,20,14,1.0,1.0,1.0,0.7,1.0,True,0.999018980592877,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case6009,G1_GT_anatomy,CenterF,C0+LGE,False,14,20,14,1.0,1.0,1.0,0.7,1.0,True,0.9955962972948683,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case6009,G2_supported_denominator,CenterF,C0+LGE,False,14,20,14,1.0,1.0,1.0,0.7,1.0,True,0.998950858197994,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case6009,G3_repaired_predicted,CenterF,C0+LGE,False,14,20,14,0.3451450892857143,0.34933035714285715,0.34933035714285715,0.3,0.42857142857142855,False,0.44469048817312534,5.830951894845301,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 8, ""unsupported_slice"": 6}"
Case7001,G0_current_predicted,CenterG,C0+LGE,False,11,20,11,1.0,1.0,1.0,0.55,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 9}"
Case7001,G1_GT_anatomy,CenterG,C0+LGE,False,11,20,11,1.0,1.0,1.0,0.55,1.0,True,1.0,0.0,1.0,0.0,0.9992897727272727,0.0007102272727272727,"{""unsupported_slice"": 9}"
Case7001,G2_supported_denominator,CenterG,C0+LGE,False,11,20,11,1.0,1.0,1.0,0.55,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 9}"
