case_id,center,class_id,component_count,dice,formal_variant,gt_empty,hd,hd95,invalid_label_values,metric_name,modality_group,pred_empty,pred_gt_volume_ratio,remote_fp_count,script_alias,small_fp_count,source_path,t2_present,variant
Case1042,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1042,CenterA,5,14,0.6883910386965377,anchored_srr_v25_full,False,42.065519668969394,12.436632370564293,,myops_scar,LGE-only,False,1.1677704194260485,1,srr_propref_shared_dual_dict,11,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1045,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1045,CenterA,5,4,0.09412906356137797,anchored_srr_v25_full,False,70.89330044759426,61.4691087909369,,myops_scar,LGE-only,False,0.3850806451612903,1,srr_propref_shared_dual_dict,1,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1045,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1045,CenterA,5,19,0.1356907894736842,anchored_srr_v25_full,False,141.59655759152787,61.20258687228079,,myops_scar,LGE-only,False,0.6344086021505376,6,srr_propref_shared_dual_dict,12,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1047,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1047,CenterA,5,15,0.6679869123471672,anchored_srr_v25_full,False,20.48415197811293,5.781199932098389,,myops_scar,LGE-only,False,0.7323985680190931,0,srr_propref_shared_dual_dict,6,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1047,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1047,CenterA,5,29,0.6519663559899977,anchored_srr_v25_full,False,175.18986961858607,8.905683189076704,,myops_scar,LGE-only,False,0.9685262529832935,4,srr_propref_shared_dual_dict,20,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
