case_id,center,checkpoint_name,class_id,formal_variant,gt_voxels,lesion_wise_recall,memory_negative_similarity_mean,metric_name,modality_group,neg_similarity_mean,outside_myocardium_fp_ratio,pos_similarity_mean,proposal_component_count,proposal_gate_mean,proposal_gate_p95,proposal_precision,proposal_recall,proposal_remote_fp_count,proposal_small_fp_count,proposal_threshold,proposal_voxels,script_alias,source_path,t2_present,variant
Case1009,CenterA,checkpoint_best,5,anchored_srr_v25_full,4090,0.2857142857142857,0.426106721162796,myops_scar,LGE-only,0.4262688457965851,0.3353418593212002,0.14414995908737183,20,0.005662797950208187,6.282927643042058e-05,0.3611657648794884,0.7180929095354524,11,13,0.05,8132,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,5,anchored_srr_v25_full,4090,0.2857142857142857,0.426106721162796,myops_scar,LGE-only,0.4262688457965851,0.304248145650708,0.14414995908737183,16,0.005662797950208187,6.282927643042058e-05,0.3875927174645988,0.7026894865525672,7,9,0.1,7415,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,5,anchored_srr_v25_full,4090,0.2857142857142857,0.426106721162796,myops_scar,LGE-only,0.4262688457965851,0.27421271538918596,0.14414995908737183,17,0.005662797950208187,6.282927643042058e-05,0.41532976827094475,0.6836185819070905,6,12,0.2,6732,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,5,anchored_srr_v25_full,4090,0.2857142857142857,0.426106721162796,myops_scar,LGE-only,0.4262688457965851,0.25291890186178606,0.14414995908737183,14,0.005662797950208187,6.282927643042058e-05,0.43404859577153676,0.6726161369193154,5,9,0.3,6338,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,5,anchored_srr_v25_full,4090,0.2857142857142857,0.426106721162796,myops_scar,LGE-only,0.4262688457965851,0.23811889385659876,0.14414995908737183,13,0.005662797950208187,6.282927643042058e-05,0.4502401059778109,0.6647921760391198,5,9,0.4,6039,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,5,anchored_srr_v25_full,4090,0.2857142857142857,0.426106721162796,myops_scar,LGE-only,0.4262688457965851,0.2226825479026411,0.14414995908737183,10,0.005662797950208187,6.282927643042058e-05,0.4631451752114621,0.6559902200488997,3,5,0.5,5793,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,5,anchored_srr_v25_full,4090,0.2857142857142857,0.426106721162796,myops_scar,LGE-only,0.4262688457965851,0.20604196816208395,0.14414995908737183,10,0.005662797950208187,6.282927643042058e-05,0.47865412445730826,0.6469437652811736,4,5,0.6,5528,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,5,anchored_srr_v25_full,4090,0.2857142857142857,0.426106721162796,myops_scar,LGE-only,0.4262688457965851,0.19119878603945373,0.14414995908737183,12,0.005662797950208187,6.282927643042058e-05,0.4935508345978756,0.6361858190709047,5,6,0.7,5272,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,5,anchored_srr_v25_full,4090,0.2857142857142857,0.426106721162796,myops_scar,LGE-only,0.4262688457965851,0.1669038422443586,0.14414995908737183,13,0.005662797950208187,6.282927643042058e-05,0.51900792844074,0.6242053789731051,2,6,0.8,4919,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,5,anchored_srr_v25_full,4090,0.2857142857142857,0.426106721162796,myops_scar,LGE-only,0.4262688457965851,0.13124300111982082,0.14414995908737183,10,0.005662797950208187,6.282927643042058e-05,0.5509518477043673,0.6014669926650367,1,5,0.9,4465,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.262868732213974,myops_edema,LGE-only,0.2629241347312927,,-0.002647221786901355,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.05,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.262868732213974,myops_edema,LGE-only,0.2629241347312927,,-0.002647221786901355,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.1,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.262868732213974,myops_edema,LGE-only,0.2629241347312927,,-0.002647221786901355,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.2,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1009,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.262868732213974,myops_edema,LGE-only,0.2629241347312927,,-0.002647221786901355,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.3,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
