anchor_present_batch_fraction,batch_cases,component_present_batch_fraction,edema_proposal_loss,edema_supervised_batch_fraction,elapsed_seconds,evidence_loss,final_loss,formal_variant,loss,proposal_margin_loss,proposal_weight,refine_weight,roi_cover_loss,roi_remote_loss,scar_proposal_loss,script_alias,source_path,stage,step,variant
,,,,,261.2357825640065,,,anchored_srr_v25_full,,,,,,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1800,srr_propref_shared_dual_dict
0.0,"Case3006,Case2026",0.0,-0.0,0.0,268.6821377349843,0.7512239217758179,0.7505919933319092,anchored_srr_v25_full,0.7512239217758179,0.20903807878494263,0.0,0.0,0.2574562132358551,0.0022509079426527023,0.5913949608802795,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1850,srr_propref_shared_dual_dict
0.5,"Case2015,Case3002",0.5,0.49885764718055725,1.0,275.82370998398983,1.3747196197509766,1.3719300031661987,anchored_srr_v25_full,1.3747196197509766,0.22671225666999817,0.0,0.0,0.456245094537735,0.005059573799371719,0.45436394214630127,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1900,srr_propref_shared_dual_dict
0.0,"Case2022,Case3036",0.0,0.5845721960067749,1.0,283.0021212279971,1.146793246269226,1.145230770111084,anchored_srr_v25_full,1.146793246269226,0.2237137407064438,0.0,0.0,0.5156615972518921,0.00975718628615141,0.5910149812698364,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1950,srr_propref_shared_dual_dict
0.5,"Case3041,Case3001",0.5,0.453195720911026,1.0,290.13661852799123,1.4099267721176147,1.40517258644104,anchored_srr_v25_full,1.4099267721176147,0.22672905027866364,0.0,0.0,0.4417167901992798,0.009481534361839294,0.345852255821228,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,2000,srr_propref_shared_dual_dict
0.5,"Case3042,Case2025",0.5,0.5525257587432861,1.0,297.2938569760008,1.0496646165847778,1.0471789836883545,anchored_srr_v25_full,1.0496646165847778,0.2208932638168335,0.0,0.0,0.4312017560005188,0.006233301479369402,0.34116190671920776,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,2050,srr_propref_shared_dual_dict
0.5,"Case2010,Case2005",0.5,0.11439663916826248,0.5,304.49146932398435,0.9964123964309692,0.9928209781646729,anchored_srr_v25_full,0.9964123964309692,0.22088366746902466,0.0,0.0,0.2937135100364685,0.005435703322291374,0.34767094254493713,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,2100,srr_propref_shared_dual_dict
1.0,"Case6008,Case2025",1.0,0.15635429322719574,0.5,311.5862282209855,1.146783471107483,1.1451889276504517,anchored_srr_v25_full,1.146783471107483,0.2203657329082489,0.0,0.0,0.2994062900543213,0.010075107216835022,0.32463833689689636,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,2150,srr_propref_shared_dual_dict
1.0,"Case2015,Case2029",1.0,0.24787479639053345,1.0,318.7174491019978,0.8115648627281189,0.8075276613235474,anchored_srr_v25_full,0.8115648627281189,0.22071923315525055,0.0,0.0,0.331059992313385,0.00625503808259964,0.1670299917459488,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,2200,srr_propref_shared_dual_dict
0.5,"Case2035,Case8033",0.5,-0.0,0.0,325.8098754939856,0.6448056697845459,0.6425948143005371,anchored_srr_v25_full,0.6448056697845459,0.20306620001792908,0.0,0.0,0.20849525928497314,0.006042771972715855,0.3549710512161255,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,2250,srr_propref_shared_dual_dict
