method,transform_family,case_id,center,fixed_frame,moving_frame,available_nonreference_prediction_frames,requested_pairs_per_case,pair_limit_reason,before_myocardium_dice,after_myocardium_dice,before_lv_dice,after_lv_dice,before_myocardium_hd95,after_myocardium_hd95,before_lv_hd95,after_lv_hd95,image_ncc_before,image_ncc_after,displacement_mean,displacement_p95,displacement_max,jacobian_fold_voxels,registration_metric,iterations,runtime_seconds,failure_reason,m7_continued_decision,module_available
SimpleITK_Demons,dense_displacement,Case1007,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.5845141237773105,0.7105876425017321,0.7038123167155426,0.8221658564080885,7.390335559844971,7.0110931396484375,9.983804321289062,9.420864152908326,0.9422587178692852,EVIDENCE_NOT_FOUND,1.292912483215332,4.000891089439385,16.174840927124023,13645,0.0011011995851459217,40,0.8926296170102432,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1007,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.5845141237773105,0.630379439932113,0.7038123167155426,0.7414487716249308,7.390335559844971,6.949018478393555,9.983804321289062,9.915183067321777,0.9422587178692852,EVIDENCE_NOT_FOUND,,,,,,25,0.8538063089945354,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1008,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1008,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.655098645115284,0.7155606190069306,0.6212055819306574,0.8175046554934823,7.390337944030762,6.2926483154296875,11.107980728149414,7.390335559844971,0.9399658674406041,EVIDENCE_NOT_FOUND,2.705836296081543,8.323519706726074,19.928234100341797,38792,0.0013536413951335212,40,0.8726146440021694,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1008,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.655098645115284,0.655098645115284,0.6212055819306574,0.6212055819306574,7.390337944030762,7.390337944030762,11.107980728149414,11.107980728149414,0.9399658674406041,EVIDENCE_NOT_FOUND,,,,,,25,0.3458390940213576,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1008,center_alpha,0,28,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1008,center_alpha,0,28,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.937641132534306,0.9276031905156257,0.9610753581067054,0.9653981050096844,1.16851806640625,1.16851806640625,1.16851806640625,1.16851806640625,0.9900625521638697,EVIDENCE_NOT_FOUND,1.2814183235168457,3.57868754863739,11.833940505981445,14121,0.00020812029994272371,40,0.8816838610218838,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1008,center_alpha,0,28,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.937641132534306,0.937641132534306,0.9610753581067054,0.9610753581067054,1.16851806640625,1.16851806640625,1.16851806640625,1.16851806640625,0.9900625521638697,EVIDENCE_NOT_FOUND,,,,,,25,0.3422675980255008,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1010,center_alpha,0,6,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1010,center_alpha,0,6,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.5331640471082703,0.7240664900024091,0.7372392365734576,0.8934348573634162,6.0,4.213130474090576,7.107802867889404,5.842568874359131,0.9246686778159189,EVIDENCE_NOT_FOUND,1.8649965524673462,5.275779771804808,18.805593490600586,34780,0.000678688578306512,40,0.8974941199994646,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
