variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate,source_variant,ablation_id
late_fusion_no_dictionary,4,myops_edema,CenterB,7,0.13030078975004872,190.2016949751517,132.97511154336593,168.42857142857142,120.71428571428571,0.0,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,4,myops_edema,CenterC,9,0.005583472920156337,158.7880956818289,119.57120458838823,24.77777777777778,22.444444444444443,0.7777777777777778,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,4,myops_edema,C0+LGE,4,0.25,0.0,0.0,102.5,102.5,0.25,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,4,myops_edema,LGE-only,24,0.0,,,35.166666666666664,35.166666666666664,0.0,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,4,myops_edema,no_T2_empty_GT,28,0.03571428571428571,0.0,0.0,44.785714285714285,44.785714285714285,0.03571428571428571,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,5,myops_scar,all_cases,44,0.04417598933924044,179.55666200101595,130.5623499508338,201.5,141.52272727272728,0.20454545454545456,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,5,myops_scar,gt_positive_only,43,0.0452033379285251,179.55666200101595,130.5623499508338,203.74418604651163,142.37209302325581,0.20930232558139536,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,5,myops_scar,t2_present,16,0.04112016585155552,168.14725973686998,103.92608338838573,16.875,10.5625,0.5,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,5,myops_scar,complete_modality,16,0.04112016585155552,168.14725973686998,103.92608338838573,16.875,10.5625,0.5,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,5,myops_scar,CenterB,7,0.09038902251640121,171.41068600644718,115.84459500873783,37.285714285714285,23.0,0.0,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,5,myops_scar,CenterC,9,0.0027999440011199778,145.30327584982948,20.496502045921126,1.0,0.8888888888888888,0.8888888888888888,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,5,myops_scar,C0+LGE,4,0.06652367049572082,170.27041112680303,135.77253497350273,162.0,129.5,0.25,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,5,myops_scar,LGE-only,24,0.042488591471616995,184.13365032858238,139.00692338642742,331.1666666666667,230.83333333333334,0.0,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,5,myops_scar,no_T2_empty_GT,1,0.0,,,105.0,105.0,0.0,late_fusion_no_dictionary,B2
retrieval_no_sip_or_weak_sip,4,myops_edema,all_cases,44,0.34485412872190896,89.44653919038507,63.71916813623084,31.75,26.522727272727273,0.29545454545454547,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,4,myops_edema,gt_positive_only,16,0.13584885398524968,162.12185228257295,115.49099224691841,66.6875,52.3125,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,4,myops_edema,t2_present,16,0.13584885398524968,162.12185228257295,115.49099224691841,66.6875,52.3125,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,4,myops_edema,complete_modality,16,0.13584885398524968,162.12185228257295,115.49099224691841,66.6875,52.3125,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,4,myops_edema,CenterB,7,0.27184172981103166,157.96563027181833,87.34720955554899,32.42857142857143,20.0,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,4,myops_edema,CenterC,9,0.030076617231863684,165.35446940204872,137.38060100687238,93.33333333333333,77.44444444444444,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,4,myops_edema,C0+LGE,4,0.25,0.0,0.0,57.75,57.75,0.25,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,4,myops_edema,LGE-only,24,0.5,0.0,0.0,4.125,4.125,0.5,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,4,myops_edema,no_T2_empty_GT,28,0.4642857142857143,0.0,0.0,11.785714285714286,11.785714285714286,0.4642857142857143,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,5,myops_scar,all_cases,44,0.07022141738967506,176.87071317516387,129.123044696875,88.18181818181819,64.6590909090909,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,5,myops_scar,gt_positive_only,43,0.07185447360803959,176.87071317516387,129.123044696875,89.76744186046511,65.69767441860465,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,5,myops_scar,t2_present,16,0.07333312170098125,177.05864504492044,115.98520528434038,40.625,32.875,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,5,myops_scar,complete_modality,16,0.07333312170098125,177.05864504492044,115.98520528434038,40.625,32.875,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,5,myops_scar,CenterB,7,0.06156229316353264,184.2575938206134,105.11171746533223,20.0,15.142857142857142,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,5,myops_scar,CenterC,9,0.08248821056344127,171.4594626638259,124.44236247690226,56.666666666666664,46.666666666666664,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,5,myops_scar,C0+LGE,4,0.09137455193160793,167.26132194640758,123.9455960200323,111.0,83.5,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,5,myops_scar,LGE-only,24,0.0646214254251488,177.94659916558737,138.5287853898368,116.08333333333333,82.70833333333333,0.0,retrieval_no_sip_or_weak_sip,B3
retrieval_no_sip_or_weak_sip,5,myops_scar,no_T2_empty_GT,1,0.0,,,20.0,20.0,0.0,retrieval_no_sip_or_weak_sip,B3
