feature_source,task_id,probe_model,train_rows,eval_rows,train_cases,eval_cases,status,AUROC,AUPRC,balanced_accuracy,sensitivity,specificity,ECE,fold_id,pathology,evidence_source
CENTER_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4750,1208,64,16,PASS,0.49775206974066555,0.4939150518658604,0.49775206974066555,0.43812709030100333,0.5573770491803278,0.004969586482043875,2,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4769,1189,64,16,PASS,0.5010506224442405,0.485807908387505,0.5010506224442406,0.43674176776429807,0.565359477124183,0.014675092410346757,3,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4759,1199,64,16,PASS,0.504505632736664,0.495186762988991,0.5045056327366639,0.43993231810490696,0.569078947368421,0.007054933047810796,4,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4564,1126,64,16,PASS,0.5170665143437421,0.47063793188106295,0.5170665143437421,0.47307692307692306,0.5610561056105611,0.03835393646559471,0,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4581,1109,64,16,PASS,0.5129634732856984,0.46019032487386524,0.5129634732856984,0.46322067594433397,0.5627062706270627,0.04648959015845522,1,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4523,1167,64,16,PASS,0.5049003737822645,0.4797653394853021,0.5049003737822645,0.4524236983842011,0.5573770491803278,0.02271431276501601,2,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4544,1146,64,16,PASS,0.4991464888263456,0.46641719788092034,0.49914648882634566,0.4336448598130841,0.5646481178396072,0.03275184117688168,3,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4548,1142,64,16,PASS,0.5167492115119259,0.4762731812390173,0.5167492115119259,0.46441947565543074,0.569078947368421,0.03239335115596648,4,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4336,1120,64,16,PASS,0.5101000372410782,0.4640668288491393,0.5101000372410782,0.4591439688715953,0.5610561056105611,0.04109418243399782,0,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4392,1064,64,16,PASS,0.5062439650078545,0.4335618968429055,0.5062439650078545,0.4497816593886463,0.5627062706270627,0.06956525390764334,1,scar,v4_patient_level_refold
