case_id,center,metric_name,model_id,dice,pred_voxels,gt_voxels,pred_components,gt_components,empty_gt,empty_pred,model_disagreement_dice
Case2031,CenterB,scar,nnunet_oof,0.8013937282229965,858,864,2,1,0,0,0.6148955495004541
Case2031,CenterB,scar,mosaic_clean_oof,0.4010840108401084,243,864,1,1,0,0,0.6148955495004541
Case2031,CenterB,pure_edema,nnunet_oof,0.29880478087649404,195,307,16,13,0,0,0.7971259509721048
Case2031,CenterB,pure_edema,mosaic_clean_oof,0.26872586872586873,988,307,2,13,0,0,0.7971259509721048
Case2031,CenterB,lesion_union,nnunet_oof,0.8012589928057554,1053,1171,1,1,0,0,0.24430823117338007
Case2031,CenterB,lesion_union,mosaic_clean_oof,0.7493755203996669,1231,1171,2,1,0,0,0.24430823117338007
Case2033,CenterB,scar,nnunet_oof,0.7208988764044943,1125,1100,2,1,0,0,0.33434535104364327
Case2033,CenterB,scar,mosaic_clean_oof,0.7440613026819923,1510,1100,1,1,0,0,0.33434535104364327
Case2033,CenterB,pure_edema,nnunet_oof,0.523033309709426,1813,1009,4,18,0,0,0.6263807667316439
Case2033,CenterB,pure_edema,mosaic_clean_oof,0.41424802110817943,1265,1009,2,18,0,0,0.6263807667316439
Case2033,CenterB,lesion_union,nnunet_oof,0.7858133544680008,2938,2109,1,1,0,0,0.2893401015228426
Case2033,CenterB,lesion_union,mosaic_clean_oof,0.726044226044226,2775,2109,1,1,0,0,0.2893401015228426
Case3004,CenterC,scar,nnunet_oof,0.6247040252565115,2742,2326,1,1,0,0,0.4476377400813122
Case3004,CenterC,scar,mosaic_clean_oof,0.4814649397052255,4391,2326,1,1,0,0,0.4476377400813122
Case3004,CenterC,pure_edema,nnunet_oof,0.4530451866404715,1743,3347,4,14,0,0,0.8201982530179606
Case3004,CenterC,pure_edema,mosaic_clean_oof,0.29746459764266936,8446,3347,2,14,0,0,0.8201982530179606
Case3004,CenterC,lesion_union,nnunet_oof,0.7493601102579248,4485,5673,1,1,0,0,0.5104491398221914
Case3004,CenterC,lesion_union,mosaic_clean_oof,0.5741761210156672,12837,5673,1,1,0,0,0.5104491398221914
Case3011,CenterC,scar,nnunet_oof,0.6389535925461387,2455,3126,3,1,0,0,0.2294288480154889
Case3011,CenterC,scar,mosaic_clean_oof,0.7138450993831391,2710,3126,1,1,0,0,0.2294288480154889
Case3011,CenterC,pure_edema,nnunet_oof,0.26666666666666666,1337,868,7,13,0,0,0.7027427724240178
Case3011,CenterC,pure_edema,mosaic_clean_oof,0.14535666218034993,1361,868,5,13,0,0,0.7027427724240178
Case3011,CenterC,lesion_union,nnunet_oof,0.6503981505265862,3792,3994,4,1,0,0,0.2527025308406461
Case3011,CenterC,lesion_union,mosaic_clean_oof,0.754122752634842,4071,3994,1,1,0,0,0.2527025308406461
Case3012,CenterC,scar,nnunet_oof,0.8267066766691673,2514,2818,2,1,0,0,1.0
Case3012,CenterC,scar,mosaic_clean_oof,0.0,3012,2818,1,1,0,0,1.0
Case3012,CenterC,pure_edema,nnunet_oof,0.45068083693125205,1930,4092,18,6,0,0,0.9620951068228808
Case3012,CenterC,pure_edema,mosaic_clean_oof,0.044233807266982623,972,4092,4,6,0,0,0.9620951068228808
Case3012,CenterC,lesion_union,nnunet_oof,0.703188303681522,4444,6910,3,1,0,0,0.9133839582344566
Case3012,CenterC,lesion_union,mosaic_clean_oof,0.0982192032311364,3984,6910,1,1,0,0,0.9133839582344566
Case3023,CenterC,scar,nnunet_oof,0.6612691466083152,2635,1935,2,1,0,0,0.27760891590678827
Case3023,CenterC,scar,mosaic_clean_oof,0.6629643814630409,3287,1935,1,1,0,0,0.27760891590678827
Case3023,CenterC,pure_edema,nnunet_oof,0.16291793313069908,881,764,13,10,0,0,0.7549704459967759
Case3023,CenterC,pure_edema,mosaic_clean_oof,0.3463302752293578,980,764,2,10,0,0,0.7549704459967759
Case3023,CenterC,lesion_union,nnunet_oof,0.7185840707964601,3516,2699,3,1,0,0,0.24579211101117826
Case3023,CenterC,lesion_union,mosaic_clean_oof,0.7166236003445305,4267,2699,1,1,0,0,0.24579211101117826
Case3026,CenterC,scar,nnunet_oof,0.8081740276862228,3232,4353,1,1,0,0,0.28839230291744256
Case3026,CenterC,scar,mosaic_clean_oof,0.7356146469049695,4823,4353,1,1,0,0,0.28839230291744256
Case3026,CenterC,pure_edema,nnunet_oof,0.21919504643962848,1402,1828,4,17,0,0,0.7025375939849624
Case3026,CenterC,pure_edema,mosaic_clean_oof,0.18880820162323794,2854,1828,4,17,0,0,0.7025375939849624
Case3026,CenterC,lesion_union,nnunet_oof,0.7924179380490061,4634,6181,1,1,0,0,0.30793599220209567
Case3026,CenterC,lesion_union,mosaic_clean_oof,0.7943426179823928,7677,6181,1,1,0,0,0.30793599220209567
Case3034,CenterC,scar,nnunet_oof,0.8293831423638361,3545,2826,1,1,0,0,0.20406698564593306
Case3034,CenterC,scar,mosaic_clean_oof,0.731317890328491,4815,2826,1,1,0,0,0.20406698564593306
Case3034,CenterC,pure_edema,nnunet_oof,0.6546035125066525,1720,2038,5,11,0,0,0.39439982635120474
Case3034,CenterC,pure_edema,mosaic_clean_oof,0.5360406091370559,2887,2038,9,11,0,0,0.39439982635120474
Case3034,CenterC,lesion_union,nnunet_oof,0.8200217198143943,5265,4864,2,1,0,0,0.2004318655047428
Case3034,CenterC,lesion_union,mosaic_clean_oof,0.7357950023873946,7702,4864,1,1,0,0,0.2004318655047428
Case3038,CenterC,scar,nnunet_oof,0.75830144426614,7687,8515,1,1,0,0,0.4483393290387351
Case3038,CenterC,scar,mosaic_clean_oof,0.4462874579453877,4266,8515,1,1,0,0,0.4483393290387351
Case3038,CenterC,pure_edema,nnunet_oof,0.16778761061946904,4065,1585,12,33,0,0,0.7183331800202373
Case3038,CenterC,pure_edema,mosaic_clean_oof,0.026456918126564175,6806,1585,2,33,0,0,0.7183331800202373
Case3038,CenterC,lesion_union,nnunet_oof,0.7429068277503204,11752,10100,1,2,0,0,0.24141254819488256
Case3038,CenterC,lesion_union,mosaic_clean_oof,0.6878896655960702,11072,10100,1,2,0,0,0.24141254819488256
Case3040,CenterC,scar,nnunet_oof,0.8691367757193535,2280,2794,1,1,0,0,0.09643648077310252
Case3040,CenterC,scar,mosaic_clean_oof,0.896551724137931,2687,2794,1,1,0,0,0.09643648077310252
Case3040,CenterC,pure_edema,nnunet_oof,0.24913093858632676,1402,324,10,10,0,0,0.46880327309921577
Case3040,CenterC,pure_edema,mosaic_clean_oof,0.20700808625336928,1531,324,2,10,0,0,0.46880327309921577
Case3040,CenterC,lesion_union,nnunet_oof,0.8685294117647059,3682,3118,2,1,0,0,0.12987341772151895
Case3040,CenterC,lesion_union,mosaic_clean_oof,0.8121592148309705,4218,3118,1,1,0,0,0.12987341772151895
Case3044,CenterC,scar,nnunet_oof,0.7844537386514332,4022,5781,2,1,0,0,0.15235028976175147
Case3044,CenterC,scar,mosaic_clean_oof,0.7438051238975221,3743,5781,1,1,0,0,0.15235028976175147
Case3044,CenterC,pure_edema,nnunet_oof,0.16612529002320187,1892,263,19,20,0,0,0.4846378111684234
Case3044,CenterC,pure_edema,mosaic_clean_oof,0.10530035335689046,2567,263,3,20,0,0,0.4846378111684234
Case3044,CenterC,lesion_union,nnunet_oof,0.849305903997324,5914,6044,2,1,0,0,0.11763743455497377
Case3044,CenterC,lesion_union,mosaic_clean_oof,0.8614214019750688,6310,6044,1,1,0,0,0.11763743455497377
Case5005,CenterE,scar,nnunet_oof,0.5725747629467542,2641,5585,1,1,0,0,0.9379280821917808
Case5005,CenterE,scar,mosaic_clean_oof,0.05120798319327731,2031,5585,1,1,0,0,0.9379280821917808
Case5005,CenterE,lesion_union,nnunet_oof,0.5725747629467542,2641,5585,1,1,0,0,0.946455343756693
Case5005,CenterE,lesion_union,mosaic_clean_oof,0.07164956847418986,6697,5585,1,1,0,0,0.946455343756693
Case6001,CenterF,scar,nnunet_oof,0.44598337950138506,1298,1590,14,1,0,0,0.7080624187256177
Case6001,CenterF,scar,mosaic_clean_oof,0.29631828978622327,1778,1590,1,1,0,0,0.7080624187256177
Case6001,CenterF,lesion_union,nnunet_oof,0.44598337950138506,1298,1590,14,1,0,0,0.7012569424144988
Case6001,CenterF,lesion_union,mosaic_clean_oof,0.3215728521411258,2123,1590,1,1,0,0,0.7012569424144988
Case6010,CenterF,scar,nnunet_oof,0.49259110933119743,938,1559,9,2,0,0,0.9775811209439528
Case6010,CenterF,scar,mosaic_clean_oof,0.04835924006908463,757,1559,1,2,0,0,0.9775811209439528
Case6010,CenterF,lesion_union,nnunet_oof,0.49259110933119743,938,1559,9,2,0,0,0.9439092793561761
Case6010,CenterF,lesion_union,mosaic_clean_oof,0.15982770346860123,7263,1559,1,2,0,0,0.9439092793561761
Case7005,CenterG,scar,nnunet_oof,0.0,35,0,7,0,1,0,0.9591836734693877
Case7005,CenterG,scar,mosaic_clean_oof,0.0,63,0,1,0,1,0,0.9591836734693877
Case7005,CenterG,lesion_union,nnunet_oof,0.0,35,0,7,0,1,0,0.9937399391879806
Case7005,CenterG,lesion_union,mosaic_clean_oof,0.0,11147,0,1,0,1,0,0.9937399391879806
Case8003,CenterH,scar,nnunet_oof,0.7172976649285876,2045,2366,3,1,0,0,0.2053691275167785
Case8003,CenterH,scar,mosaic_clean_oof,0.7372156126069714,2425,2366,1,1,0,0,0.2053691275167785
