case_id,center,metric_name,fn_jaccard_nnunet_vs_mosaic,fp_jaccard_nnunet_vs_mosaic,nnunet_fn_voxels,mosaic_fn_voxels,nnunet_fp_voxels,mosaic_fp_voxels
Case1065,CenterA,lesion_union,0.46706586826347307,0.029980013324450366,704,1011,186,1360
Case1066,CenterA,scar,0.5149302174618631,0.07644882860665844,3810,5525,942,2550
Case1066,CenterA,lesion_union,0.5149302174618631,0.07644882860665844,3810,5525,942,2550
Case1071,CenterA,scar,0.3093145869947276,0.06721742395794217,1148,1832,1729,3955
Case1071,CenterA,lesion_union,0.3093145869947276,0.06721742395794217,1148,1832,1729,3955
Case1078,CenterA,scar,0.6331908831908832,0.02545068928950159,894,1399,1202,1699
Case1078,CenterA,lesion_union,0.6331908831908832,0.02545068928950159,894,1399,1202,1699
Case1081,CenterA,scar,0.5578512396694215,0.02954048140043764,455,676,261,680
Case1081,CenterA,lesion_union,0.5578512396694215,0.02954048140043764,455,676,261,680
Case2004,CenterB,scar,0.1941564561734213,0.28284854563691075,859,408,615,664
Case2004,CenterB,pure_edema,0.5815369008369262,0.0,2293,3943,511,0
Case2004,CenterB,lesion_union,0.4344054168429962,0.1511879049676026,2645,4134,619,447
Case2005,CenterB,scar,0.4799154334038055,0.329073482428115,314,386,121,295
Case2005,CenterB,pure_edema,0.4375247917493058,0.0,1103,2521,385,0
Case2005,CenterB,lesion_union,0.36415565869332384,0.31277533039647576,1069,2752,158,140
Case2012,CenterB,scar,0.6616161616161617,0.0,143,186,7,72
Case2012,CenterB,pure_edema,0.5140562248995983,0.0,128,249,114,0
Case2012,CenterB,lesion_union,0.6929347826086957,0.018518518518518517,257,366,107,3
Case2018,CenterB,scar,0.35367372353673726,0.21629213483146068,449,638,865,434
Case2018,CenterB,pure_edema,0.7978359908883826,0.0,1401,1756,467,0
Case2018,CenterB,lesion_union,0.42236559139784946,0.09078947368421053,1146,2161,628,201
Case2021,CenterB,scar,0.4529616724738676,0.25316455696202533,344,490,52,47
Case2021,CenterB,pure_edema,0.3296500920810313,0.0,358,1086,758,0
Case2021,CenterB,lesion_union,0.2381570408825438,0.01037344398340249,374,1534,482,5
Case2029,CenterB,scar,0.1791907514450867,0.2798913043478261,83,121,282,660
Case2029,CenterB,pure_edema,0.26205903527717783,0.0,364,1389,797,0
Case2029,CenterB,lesion_union,0.11252115059221658,0.061955469506292354,161,1154,793,304
Case2032,CenterB,scar,0.726027397260274,0.5013192612137203,67,59,289,280
Case2032,CenterB,pure_edema,0.5316358024691358,0.0,689,1296,629,0
Case2032,CenterB,lesion_union,0.45367132867132864,0.09170305676855896,524,1139,686,64
Case3003,CenterC,scar,0.49324324324324326,0.09340659340659341,123,98,135,64
Case3003,CenterC,pure_edema,0.5319047619047619,0.0,1117,2100,521,0
Case3003,CenterC,lesion_union,0.5114432508173751,0.0136986301369863,1095,2141,511,7
Case3009,CenterC,scar,0.3558282208588957,0.274,322,120,139,498
Case3009,CenterC,pure_edema,0.4889867841409692,0.0,444,908,977,0
Case3009,CenterC,lesion_union,0.4826862539349423,0.24294354838709678,506,907,856,377
Case3010,CenterC,scar,0.02696629213483146,0.0,12,445,2992,3113
Case3010,CenterC,pure_edema,0.8755565449688335,0.0,3933,4492,143,0
Case3010,CenterC,lesion_union,0.32874215110390925,0.0,1623,4937,813,3113
Case3019,CenterC,scar,0.46367851622874806,0.3317269076305221,1136,758,865,793
Case3019,CenterC,pure_edema,0.7847711267605634,0.0,1783,2272,953,0
Case3019,CenterC,lesion_union,0.5509873745548721,0.17651821862348177,2063,2728,962,491
Case3020,CenterC,scar,0.7782063645130183,0.44587628865979384,4606,4614,493,629
Case3020,CenterC,pure_edema,0.6768820786142572,0.0,2032,3002,808,0
Case3020,CenterC,lesion_union,0.6860403397027601,0.03804347826086957,5610,7096,273,109
Case3021,CenterC,scar,0.3814102564102564,0.4808864265927978,169,262,1377,1296
Case3021,CenterC,pure_edema,0.7252692211369898,0.0,2896,3993,186,0
Case3021,CenterC,lesion_union,0.505627962085308,0.37610619469026546,1775,3308,273,349
Case3029,CenterC,scar,0.09064327485380116,0.37883531621790856,73,300,1147,1055
Case3029,CenterC,pure_edema,0.5191614805109728,0.0,1585,3053,531,0
Case3029,CenterC,lesion_union,0.36486486486486486,0.33081570996978854,1094,2946,1114,648
Case3032,CenterC,scar,1.0,0.27015057573073514,0,0,511,923
Case3032,CenterC,pure_edema,0.6275221953188055,0.0,1555,2478,642,0
Case3032,CenterC,lesion_union,0.6434240362811792,0.025027203482045703,1250,1649,848,94
Case3045,CenterC,scar,0.29528535980148884,0.4577114427860697,154,368,926,539
Case3045,CenterC,pure_edema,0.9084507042253521,0.0,1161,1278,58,0
Case3045,CenterC,lesion_union,0.43833580980683506,0.3532608695652174,646,1290,315,183
Case5002,CenterE,scar,0.6126760563380281,0.0,512,404,136,203
Case5002,CenterE,lesion_union,0.6126760563380281,0.0,512,404,136,203
Case6002,CenterF,scar,0.6333333333333333,0.006415396952686447,977,1228,167,1088
Case6002,CenterF,lesion_union,0.6333333333333333,0.006415396952686447,977,1228,167,1088
Case6005,CenterF,scar,1.0,0.0,609,609,130,119
Case6005,CenterF,lesion_union,1.0,0.0,609,609,130,119
Case7001,CenterG,scar,0.903485254691689,0.0,373,337,5,0
Case7001,CenterG,lesion_union,0.903485254691689,0.0,373,337,5,0
Case7008,CenterG,scar,0.5173824130879345,0.27640449438202247,895,589,148,420
Case7008,CenterG,lesion_union,0.5173824130879345,0.27640449438202247,895,589,148,420
Case8010,CenterH,scar,0.609254498714653,0.037815126050420166,389,237,18,476
Case8010,CenterH,lesion_union,0.609254498714653,0.037815126050420166,389,237,18,476
Case8018,CenterH,scar,0.7214022140221402,0.3907380607814761,1586,1213,306,655
Case8018,CenterH,lesion_union,0.7214022140221402,0.3907380607814761,1586,1213,306,655
Case8020,CenterH,scar,0.46271186440677964,0.29233511586452765,562,301,212,513
Case8020,CenterH,lesion_union,0.46271186440677964,0.29233511586452765,562,301,212,513
Case8025,CenterH,scar,0.6041189931350115,0.3673655423883318,963,1140,652,848
Case8025,CenterH,lesion_union,0.6041189931350115,0.3673655423883318,963,1140,652,848
Case8031,CenterH,scar,0.29636711281070743,0.19517102615694165,437,241,151,443
Case8031,CenterH,lesion_union,0.29636711281070743,0.19517102615694165,437,241,151,443
Case8032,CenterH,scar,0.43460490463215257,0.34963579604578565,693,360,533,764
Case8032,CenterH,lesion_union,0.43460490463215257,0.34963579604578565,693,360,533,764
Case8034,CenterH,scar,1.0,0.0,712,712,0,29
Case8034,CenterH,lesion_union,1.0,0.0,712,712,0,29
Case1008,CenterA,scar,0.47177685042828904,0.07261238864719287,2966,3735,2913,7442
Case1008,CenterA,lesion_union,0.47177685042828904,0.07261238864719287,2966,3735,2913,7442
Case1013,CenterA,scar,0.47145790554414785,0.15201958384332925,1338,2245,1568,3138
Case1013,CenterA,lesion_union,0.47145790554414785,0.15201958384332925,1338,2245,1568,3138
Case1015,CenterA,scar,0.23323170731707318,0.2080246913580247,528,281,614,1343
Case1015,CenterA,lesion_union,0.23323170731707318,0.2080246913580247,528,281,614,1343
Case1017,CenterA,scar,0.29782082324455206,0.07150101419878296,437,635,518,1595
Case1017,CenterA,lesion_union,0.29782082324455206,0.07150101419878296,437,635,518,1595
Case1032,CenterA,scar,0.5189539347408829,0.06959977816803771,5349,7313,1394,10178
Case1032,CenterA,lesion_union,0.5189539347408829,0.06959977816803771,5349,7313,1394,10178
Case1037,CenterA,scar,0.41092847623278544,0.05728274173806609,1292,1884,843,3476
Case1037,CenterA,lesion_union,0.41092847623278544,0.05728274173806609,1292,1884,843,3476
Case1041,CenterA,scar,0.563265306122449,0.006200482259731312,424,725,709,2212
Case1041,CenterA,lesion_union,0.563265306122449,0.006200482259731312,424,725,709,2212
Case1046,CenterA,scar,0.3146779303062302,0.03256364712847839,321,924,362,1382
Case1046,CenterA,lesion_union,0.3146779303062302,0.03256364712847839,321,924,362,1382
Case1049,CenterA,scar,0.29432624113475175,0.037882049074472665,665,1890,1272,3550
Case1049,CenterA,lesion_union,0.29432624113475175,0.037882049074472665,665,1890,1272,3550
Case1052,CenterA,scar,0.2916666666666667,0.025967143614202437,295,976,528,1408
Case1052,CenterA,lesion_union,0.2916666666666667,0.025967143614202437,295,976,528,1408
Case1060,CenterA,scar,0.43659147869674186,0.004192286193404136,872,1994,655,2938
Case1060,CenterA,lesion_union,0.43659147869674186,0.004192286193404136,872,1994,655,2938
Case1064,CenterA,scar,0.3998120742306789,0.06927662316739165,2847,3112,1003,5634
Case1064,CenterA,lesion_union,0.3998120742306789,0.06927662316739165,2847,3112,1003,5634
Case1067,CenterA,scar,0.3235560931357726,0.02858776443682104,1264,3113,715,4682
Case1067,CenterA,lesion_union,0.3235560931357726,0.02858776443682104,1264,3113,715,4682
Case1075,CenterA,scar,0.36213235294117646,0.03796761585706309,1381,3065,1115,2603
Case1075,CenterA,lesion_union,0.36213235294117646,0.03796761585706309,1381,3065,1115,2603
Case1076,CenterA,scar,0.4481404481404481,0.031241691039617124,2129,4140,2328,5429
Case1076,CenterA,lesion_union,0.4481404481404481,0.031241691039617124,2129,4140,2328,5429
Case1079,CenterA,scar,0.30350459339911534,0.027670414617006325,935,2896,4457,7242
Case1079,CenterA,lesion_union,0.30350459339911534,0.027670414617006325,935,2896,4457,7242
Case2003,CenterB,scar,0.34174311926605505,0.31716417910447764,430,155,201,505
Case2003,CenterB,pure_edema,0.4131578947368421,0.0,942,2280,393,0
Case2003,CenterB,lesion_union,0.3610871440897325,0.192,969,2186,191,256
Case2011,CenterB,scar,0.22416812609457093,0.32075471698113206,467,232,383,597
Case2011,CenterB,pure_edema,0.4873853211009174,0.0,1275,2616,690,0
Case2011,CenterB,lesion_union,0.3939051918735892,0.18580060422960726,1162,2543,493,292
Case2013,CenterB,scar,0.5744292237442923,0.17597292724196278,863,861,133,562
Case2013,CenterB,pure_edema,0.4209702660406886,0.0,269,639,3207,0
Case2013,CenterB,lesion_union,0.2877237851662404,0.02625,636,1378,2844,440
Case2015,CenterB,scar,0.3264705882352941,0.2583826429980276,660,242,285,991
Case2015,CenterB,pure_edema,0.29567519858781993,0.0,670,2266,976,0
Case2015,CenterB,lesion_union,0.19405756731662024,0.12428734321550741,522,2050,453,533
Case2025,CenterB,scar,0.15810276679841898,0.31650893796004204,222,71,367,885
Case2025,CenterB,pure_edema,0.22620827105132038,0.0,454,2007,1135,0
Case2025,CenterB,lesion_union,0.17290748898678415,0.1960651289009498,346,1784,1172,591
Case2028,CenterB,scar,0.39233038348082594,0.1761546723952739,325,147,172,923
Case2028,CenterB,pure_edema,0.3595706618962433,0.0,402,1118,391,0
Case2028,CenterB,lesion_union,0.29497907949790797,0.1712,440,798,276,456
Case2035,CenterB,scar,0.2837465564738292,0.14779874213836477,345,121,53,312
Case2035,CenterB,pure_edema,0.3034623217922607,0.0,298,982,424,0
Case2035,CenterB,lesion_union,0.26481481481481484,0.1329639889196676,372,994,206,203
Case3001,CenterC,scar,0.3916492693110647,0.11842105263157894,1634,1699,543,307
Case3001,CenterC,pure_edema,0.9926943308007014,0.0,3397,3422,314,0
Case3001,CenterC,lesion_union,0.7154273801250869,0.13010204081632654,4753,5121,579,307
Case3005,CenterC,scar,0.6060606060606061,0.11007827788649706,809,516,971,1298
Case3005,CenterC,pure_edema,1.0,0.0,3214,3214,5,0
Case3005,CenterC,lesion_union,0.9195345382520426,0.11252446183953033,4023,3730,976,1298
Case3013,CenterC,scar,0.7758730158730158,0.3710247349823322,1507,1290,259,517
Case3013,CenterC,pure_edema,0.7297560975609756,0.0,748,1025,597,0
Case3013,CenterC,lesion_union,0.6796420581655481,0.33573141486810554,1772,1982,373,184
Case3022,CenterC,scar,0.6412754650132861,0.23076923076923078,1053,800,489,967
Case3022,CenterC,pure_edema,0.615301724137931,0.0,571,928,775,0
Case3022,CenterC,lesion_union,0.4754004576659039,0.08240534521158129,1126,1453,766,692
Case3031,CenterC,scar,0.2356902356902357,0.3734989648033126,437,664,1162,2155
Case3031,CenterC,pure_edema,0.5886426592797784,0.0,850,1444,1088,0
Case3031,CenterC,lesion_union,0.13288135593220338,0.3001939864209505,329,1342,1292,1389
Case3036,CenterC,scar,0.09104186952288218,0.0,374,4108,1285,5711
Case3036,CenterC,pure_edema,0.7348821318756406,0.0,2151,2927,942,0
Case3036,CenterC,lesion_union,0.26865671641791045,0.0,1891,7034,1593,5710
Case3039,CenterC,scar,0.45554035567715456,0.3941176470588235,628,436,398,787
Case3039,CenterC,pure_edema,0.8809957498482088,0.0,1451,1647,344,0
Case3039,CenterC,lesion_union,0.7135537959944108,0.3602080624187256,1756,1923,419,627
Case3042,CenterC,scar,0.17972350230414746,0.25874587458745874,431,337,453,1454
Case3042,CenterC,pure_edema,0.803985171455051,0.0,1735,2158,121,0
Case3042,CenterC,lesion_union,0.5472112428634168,0.1223203026481715,1749,1774,157,733
Case3043,CenterC,scar,0.43599562363238514,0.3183839881393625,1668,957,1016,2541
Case3043,CenterC,pure_edema,1.0,0.0,1056,1056,1038,0
Case3043,CenterC,lesion_union,0.4547775346462436,0.2866220735785953,2569,1420,1899,1948
Case5003,CenterE,scar,0.8858049167327517,0.0014992503748125937,1165,1213,49,1287
Case5003,CenterE,lesion_union,0.8858049167327517,0.0014992503748125937,1165,1213,49,1287
Case6008,CenterF,scar,1.0,0.0,0,0,317,91
Case6008,CenterF,lesion_union,1.0,0.0,0,0,317,91
Case6009,CenterF,scar,0.5361028684470821,0.046290424857324035,664,889,314,1336
Case6009,CenterF,lesion_union,0.5361028684470821,0.046290424857324035,664,889,314,1336
Case7006,CenterG,scar,1.0,0.2702893436838391,0,0,774,1026
Case7006,CenterG,lesion_union,1.0,0.2702893436838391,0,0,774,1026
Case7009,CenterG,scar,0.24644549763033174,0.3786788750817528,409,117,786,1322
Case7009,CenterG,lesion_union,0.24644549763033174,0.3786788750817528,409,117,786,1322
Case8001,CenterH,scar,0.5602901178603807,0.04956896551724138,760,961,177,310
Case8001,CenterH,lesion_union,0.5602901178603807,0.04956896551724138,760,961,177,310
Case8007,CenterH,scar,0.4096742349457058,0.23711340206185566,948,480,216,504
Case8007,CenterH,lesion_union,0.4096742349457058,0.23711340206185566,948,480,216,504
Case8012,CenterH,scar,0.5214521452145214,0.2466765140324963,570,352,273,571
Case8012,CenterH,lesion_union,0.5214521452145214,0.2466765140324963,570,352,273,571
Case8014,CenterH,scar,0.902122641509434,0.1990521327014218,823,790,147,359
Case8014,CenterH,lesion_union,0.902122641509434,0.1990521327014218,823,790,147,359
Case8026,CenterH,scar,0.3167420814479638,0.3944723618090452,209,82,579,1086
Case8026,CenterH,lesion_union,0.3167420814479638,0.3944723618090452,209,82,579,1086
Case8030,CenterH,scar,0.5622837370242214,0.3047404063205418,540,363,209,369
Case8030,CenterH,lesion_union,0.5622837370242214,0.3047404063205418,540,363,209,369
Case8035,CenterH,scar,0.3528481012658228,0.3640776699029126,544,311,724,1243
Case8035,CenterH,lesion_union,0.3528481012658228,0.3640776699029126,544,311,724,1243
