variant,checkpoint_name,case_id,center,modality_group,t2_present,class_id,metric_name,proposal_threshold,proposal_recall,proposal_precision,lesion_wise_recall,proposal_voxels,gt_voxels,proposal_component_count,proposal_small_fp_count,proposal_remote_fp_count,outside_myocardium_fp_ratio,proposal_gate_mean,proposal_gate_p95,pos_similarity_mean,neg_similarity_mean,memory_negative_similarity_mean
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,5,myops_scar,0.05,0.7811735941320294,0.3494094488188976,0.2857142857142857,9144,4090,76,65,22,0.14129483814523183,0.006864048540592194,0.01651968900114298,0.6809288859367371,0.7678521871566772,0.7661796808242798
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,5,myops_scar,0.1,0.7244498777506112,0.5302433786685755,0.2857142857142857,5588,4090,3,2,0,0.10755189692197566,0.006864048540592194,0.01651968900114298,0.6809288859367371,0.7678521871566772,0.7661796808242798
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,5,myops_scar,0.2,0.6643031784841076,0.569243662266918,0.2857142857142857,4773,4090,2,1,0,0.07626230882044835,0.006864048540592194,0.01651968900114298,0.6809288859367371,0.7678521871566772,0.7661796808242798
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,5,myops_scar,0.3,0.6330073349633252,0.5880081762434703,0.2857142857142857,4403,4090,1,0,0,0.06291165114694526,0.006864048540592194,0.01651968900114298,0.6809288859367371,0.7678521871566772,0.7661796808242798
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,5,myops_scar,0.4,0.6139364303178484,0.5967205323193916,0.2857142857142857,4208,4090,1,0,0,0.05846007604562738,0.006864048540592194,0.01651968900114298,0.6809288859367371,0.7678521871566772,0.7661796808242798
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,5,myops_scar,0.5,0.6024449877750612,0.6046625766871165,0.2857142857142857,4075,4090,1,0,0,0.056687116564417175,0.006864048540592194,0.01651968900114298,0.6809288859367371,0.7678521871566772,0.7661796808242798
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,5,myops_scar,0.6,0.6002444987775061,0.6081248451820659,0.2857142857142857,4037,4090,1,0,0,0.0569729997522913,0.006864048540592194,0.01651968900114298,0.6809288859367371,0.7678521871566772,0.7661796808242798
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,5,myops_scar,0.7,0.6,0.6096894409937889,0.2857142857142857,4025,4090,1,0,0,0.05714285714285714,0.006864048540592194,0.01651968900114298,0.6809288859367371,0.7678521871566772,0.7661796808242798
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,5,myops_scar,0.8,0.6,0.6098409542743539,0.2857142857142857,4024,4090,1,0,0,0.05715705765407555,0.006864048540592194,0.01651968900114298,0.6809288859367371,0.7678521871566772,0.7661796808242798
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,5,myops_scar,0.9,0.6,0.6098409542743539,0.2857142857142857,4024,4090,1,0,0,0.05715705765407555,0.006864048540592194,0.01651968900114298,0.6809288859367371,0.7678521871566772,0.7661796808242798
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,4,myops_edema,0.05,,,,0,0,0,0,0,,2.0611543583015646e-09,2.061153470123145e-09,0.818681538105011,0.823223888874054,0.823223888874054
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,4,myops_edema,0.1,,,,0,0,0,0,0,,2.0611543583015646e-09,2.061153470123145e-09,0.818681538105011,0.823223888874054,0.823223888874054
