checkpoint,checkpoint_sha256,case_id,split,metric_name,t2_present,dice,hd95,exact_hd,infinite_hd,lesion_recall,gt_component_count,pred_component_count,remote_fp_count,volume_ratio,empty_gt,empty_pred,nnunet_dice,dice_delta_vs_nnunet,nnunet_hd95,hd95_delta_vs_nnunet,help_vs_nnunet,harm_vs_nnunet
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3009,inner_select,scar,1.0,0.23124087591240877,94.96578298321123,112.08032833642129,False,1.0,1,15,0,7.2729468599033815,False,False,0.9245049504950495,-0.6932640745826408,1.0,93.96578298321123,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3009,inner_select,edema_zone,1.0,0.2230654761904762,88.96902019106217,105.34229919647663,False,1.0,1,5,0,7.965977318212142,False,False,0.917910447761194,-0.6948449715707178,1.0,87.96902019106217,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3014,inner_select,scar,1.0,0.4738226559185405,31.20897306865447,88.85943956609225,False,1.0,1,4,0,3.0180702352540063,False,False,0.897086709188071,-0.4232640532695305,1.0,30.20897306865447,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3014,inner_select,edema_zone,1.0,0.609071544919183,15.878366544874359,74.24957912338628,False,1.0,2,5,0,2.0619604834068674,False,False,0.9073036469084832,-0.29823210198930017,1.0,14.878366544874359,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3017,inner_select,scar,1.0,0.5599929781444747,14.998331477354782,24.535688292770594,False,1.0,1,2,0,2.4703015534572037,False,False,0.8897908211052139,-0.3297978429607392,1.0,13.998331477354782,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3017,inner_select,edema_zone,1.0,0.5509929583036632,9.0,17.11724276862369,False,1.0,1,1,0,2.2743523316062175,False,False,0.9044736842105263,-0.3534807259068631,1.0,8.0,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3028,inner_select,scar,1.0,0.36450355423068104,7.0710678118654755,120.95453691366852,False,1.0,6,3,0,3.8606776638430675,False,False,0.8844953173777316,-0.5199917631470505,1.0,6.0710678118654755,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3028,inner_select,edema_zone,1.0,0.4913570913089797,6.4031242374328485,10.63014581273465,False,1.0,2,1,0,2.6717981072555204,False,False,0.9190420408694521,-0.42768494956047237,1.0,5.4031242374328485,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3032,inner_select,scar,1.0,0.0,inf,inf,True,1.0,0,9,0,10891.0,True,False,0.0,0.0,inf,nan,False,False
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3032,inner_select,edema_zone,1.0,0.4834508952794357,9.0,10.295630140987,False,1.0,1,1,0,3.129971988795518,False,False,0.9558412520961431,-0.47239035681670744,1.0,8.0,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3036,inner_select,scar,1.0,0.6896901980700864,10.034875433612632,20.71231517720798,False,1.0,1,1,0,1.760796410544027,False,False,0.9089637812893302,-0.21927358321924384,1.0,9.034875433612632,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3036,inner_select,edema_zone,1.0,0.6430383217933776,7.0710678118654755,18.867962264113206,False,1.0,1,1,0,1.4162663574623158,False,False,0.8957013187189587,-0.25266299692558114,1.0,6.0710678118654755,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3042,inner_select,scar,1.0,0.5470867651544864,24.351591323771842,126.74778104566565,False,1.0,1,2,0,2.6012241054613936,False,False,0.9562998405103669,-0.4092130753558805,1.0,23.351591323771842,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case3042,inner_select,edema_zone,1.0,0.6937909610940637,5.385164807134504,118.89911690168266,False,1.0,1,4,0,1.8623942745608328,False,False,0.9606307835514428,-0.26683982245737914,1.0,4.385164807134504,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case7006,inner_select,scar,0.0,0.0,inf,inf,True,1.0,0,4,0,8136.0,True,False,1.0,-1.0,0.0,inf,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case7006,inner_select,edema_zone,0.0,1.0,0.0,0.0,False,1.0,0,0,0,0.0,True,True,1.0,0.0,0.0,0.0,False,False
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case8009,inner_select,scar,0.0,0.21685932535658758,18.305716626026488,117.49468073066116,False,1.0,1,5,0,3.8902479338842975,False,False,0.8006103763987793,-0.5837510510421917,1.4142135623730951,16.891503063653392,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case8009,inner_select,edema_zone,0.0,0.0,inf,inf,True,0.0,1,0,0,0.0,False,True,0.8006103763987793,-0.8006103763987793,1.4142135623730951,inf,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case8012,inner_select,scar,0.0,0.12489076030825455,45.80556718140905,55.86591089385369,False,1.0,1,5,0,2.8634131368938,False,False,0.895817255749344,-0.7709264954410895,1.0,44.80556718140905,False,True
