variant,case_id,runtime_prediction_path,device,patch_size_zyx,sliding_window_count,elapsed_seconds,status
A3,Case2010,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case2010.nii.gz,cuda,20x256x256,1,0.088,COMPLETED
A3,Case2015,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case2015.nii.gz,cuda,20x256x256,1,0.091,COMPLETED
A3,Case2021,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case2021.nii.gz,cuda,20x256x256,1,0.09,COMPLETED
A3,Case2024,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case2024.nii.gz,cuda,20x256x256,1,0.091,COMPLETED
A3,Case2027,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case2027.nii.gz,cuda,20x256x256,1,0.092,COMPLETED
A3,Case3008,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case3008.nii.gz,cuda,20x256x256,1,0.102,COMPLETED
A3,Case3009,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case3009.nii.gz,cuda,20x256x256,1,0.108,COMPLETED
A3,Case5006,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case5006.nii.gz,cuda,20x256x256,1,0.087,COMPLETED
A3,Case6003,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case6003.nii.gz,cuda,20x256x256,1,0.093,COMPLETED
A3,Case6009,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case6009.nii.gz,cuda,20x256x256,1,0.093,COMPLETED
A3,Case7001,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case7001.nii.gz,cuda,20x256x256,1,0.092,COMPLETED
A3,Case7002,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case7002.nii.gz,cuda,20x256x256,1,0.088,COMPLETED
A3,Case8001,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case8001.nii.gz,cuda,20x256x256,1,0.087,COMPLETED
A3,Case8012,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case8012.nii.gz,cuda,20x256x256,1,0.087,COMPLETED
A3,Case8014,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case8014.nii.gz,cuda,20x256x256,1,0.089,COMPLETED
A3,Case8016,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case8016.nii.gz,cuda,20x256x256,1,0.092,COMPLETED
A3,Case8030,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case8030.nii.gz,cuda,20x256x256,1,0.086,COMPLETED
A3,Case8035,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case8035.nii.gz,cuda,20x256x256,1,0.086,COMPLETED
