checkpoint,class_id,component_count_mean,decode_mode,dice_mean,empty_prediction_rate,group,hd95_mean,hd_mean,metric_name,n,pred_gt_volume_ratio_mean,remote_fp_mean,variant
best,5,42.8125,threshold_sweep_mixed_t0.10,0.16404029495776756,0.0,t2_present,,,myops_scar,16,1.2447338704005202,32.625,proposal_pos_neg_basic
best,5,42.8125,threshold_sweep_mixed_t0.10,0.16404029495776756,0.0,complete_modality,,,myops_scar,16,1.2447338704005202,32.625,proposal_pos_neg_basic
best,5,29.285714285714285,threshold_sweep_mixed_t0.10,0.20329404693215156,0.0,CenterB,,,myops_scar,7,1.623346098894201,17.142857142857142,proposal_pos_neg_basic
best,5,53.333333333333336,threshold_sweep_mixed_t0.10,0.1335095989776911,0.0,CenterC,,,myops_scar,9,0.9502576926832129,44.666666666666664,proposal_pos_neg_basic
best,5,203.0,threshold_sweep_mixed_t0.10,0.06659329059939174,0.0,LGE-only,,,myops_scar,24,16.13572014025848,163.20833333333334,proposal_pos_neg_basic
best,5,48.0,threshold_sweep_mixed_t0.10,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,48.0,proposal_pos_neg_basic
best,4,55.59090909090909,threshold_sweep_mixed_t0.20,0.11010781035897876,0.045454545454545456,all_cases,,,myops_edema,44,2.5763478708198666,48.59090909090909,proposal_pos_neg_basic
best,4,85.5625,threshold_sweep_mixed_t0.20,0.1777964784871916,0.0,gt_positive_only,,,myops_edema,16,2.5763478708198666,66.3125,proposal_pos_neg_basic
best,4,85.5625,threshold_sweep_mixed_t0.20,0.1777964784871916,0.0,t2_present,,,myops_edema,16,2.5763478708198666,66.3125,proposal_pos_neg_basic
best,4,85.5625,threshold_sweep_mixed_t0.20,0.1777964784871916,0.0,complete_modality,,,myops_edema,16,2.5763478708198666,66.3125,proposal_pos_neg_basic
best,4,57.42857142857143,threshold_sweep_mixed_t0.20,0.3266354347934416,0.0,CenterB,,,myops_edema,7,2.1097579623206353,38.285714285714285,proposal_pos_neg_basic
best,4,107.44444444444444,threshold_sweep_mixed_t0.20,0.06203284580455273,0.0,CenterC,,,myops_edema,9,2.939251132985935,88.11111111111111,proposal_pos_neg_basic
best,4,40.125,threshold_sweep_mixed_t0.20,0.08333333333333333,0.08333333333333333,LGE-only,,,myops_edema,24,,40.125,proposal_pos_neg_basic
best,4,38.464285714285715,threshold_sweep_mixed_t0.20,0.07142857142857142,0.07142857142857142,no_T2_empty_GT,,,myops_edema,28,,38.464285714285715,proposal_pos_neg_basic
best,5,124.95454545454545,threshold_sweep_mixed_t0.20,0.10574809080845742,0.0,all_cases,,,myops_scar,44,7.611477784787507,98.6590909090909,proposal_pos_neg_basic
best,5,126.93023255813954,threshold_sweep_mixed_t0.20,0.10820734873423549,0.0,gt_positive_only,,,myops_scar,43,7.611477784787507,100.02325581395348,proposal_pos_neg_basic
best,5,37.875,threshold_sweep_mixed_t0.20,0.15988871878186178,0.0,t2_present,,,myops_scar,16,1.1072089566817076,28.5625,proposal_pos_neg_basic
best,5,37.875,threshold_sweep_mixed_t0.20,0.15988871878186178,0.0,complete_modality,,,myops_scar,16,1.1072089566817076,28.5625,proposal_pos_neg_basic
best,5,26.142857142857142,threshold_sweep_mixed_t0.20,0.19980767842215277,0.0,CenterB,,,myops_scar,7,1.449167266317826,15.0,proposal_pos_neg_basic
best,5,47.0,threshold_sweep_mixed_t0.20,0.12884063906163543,0.0,CenterC,,,myops_scar,9,0.8412413825202824,39.111111111111114,proposal_pos_neg_basic
best,5,187.91666666666666,threshold_sweep_mixed_t0.20,0.06963608783511198,0.0,LGE-only,,,myops_scar,24,12.748798693967585,150.58333333333334,proposal_pos_neg_basic
best,5,40.0,threshold_sweep_mixed_t0.20,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,40.0,proposal_pos_neg_basic
best,4,51.36363636363637,threshold_sweep_mixed_t0.30,0.1330540661522254,0.06818181818181818,all_cases,,,myops_edema,44,2.377945168755879,44.31818181818182,proposal_pos_neg_basic
best,4,81.0,threshold_sweep_mixed_t0.30,0.17839868191861985,0.0,gt_positive_only,,,myops_edema,16,2.377945168755879,61.625,proposal_pos_neg_basic
best,4,81.0,threshold_sweep_mixed_t0.30,0.17839868191861985,0.0,t2_present,,,myops_edema,16,2.377945168755879,61.625,proposal_pos_neg_basic
best,4,81.0,threshold_sweep_mixed_t0.30,0.17839868191861985,0.0,complete_modality,,,myops_edema,16,2.377945168755879,61.625,proposal_pos_neg_basic
