lane,fold,checkpoint_step,case_id,status,device,elapsed_seconds,outer_cases_accessed
m1_myopsnet_l_care,3,2500,Case3030,COMPLETED,cuda,1.474,False
m1_myopsnet_l_care,3,2500,Case3031,COMPLETED,cuda,1.356,False
m1_myopsnet_l_care,3,2500,Case3039,COMPLETED,cuda,1.312,False
m1_myopsnet_l_care,3,2500,Case3040,COMPLETED,cuda,1.513,False
m1_myopsnet_l_care,3,3000,Case2016,COMPLETED,cuda,7.833,False
m1_myopsnet_l_care,3,3000,Case2023,COMPLETED,cuda,1.214,False
m1_myopsnet_l_care,3,3000,Case2025,COMPLETED,cuda,1.448,False
m1_myopsnet_l_care,3,3000,Case2030,COMPLETED,cuda,1.174,False
m1_myopsnet_l_care,3,3000,Case2031,COMPLETED,cuda,1.108,False
m1_myopsnet_l_care,3,3000,Case3004,COMPLETED,cuda,1.32,False
m1_myopsnet_l_care,3,3000,Case3006,COMPLETED,cuda,1.392,False
m1_myopsnet_l_care,3,3000,Case3011,COMPLETED,cuda,1.126,False
m1_myopsnet_l_care,3,3000,Case3028,COMPLETED,cuda,1.576,False
m1_myopsnet_l_care,3,3000,Case3030,COMPLETED,cuda,1.406,False
m1_myopsnet_l_care,3,3000,Case3031,COMPLETED,cuda,1.354,False
m1_myopsnet_l_care,3,3000,Case3039,COMPLETED,cuda,1.504,False
m1_myopsnet_l_care,3,3000,Case3040,COMPLETED,cuda,1.518,False
m1_myopsnet_l_care,3,3500,Case2016,COMPLETED,cuda,9.127,False
m1_myopsnet_l_care,3,3500,Case2023,COMPLETED,cuda,1.368,False
m1_myopsnet_l_care,3,3500,Case2025,COMPLETED,cuda,1.44,False
m1_myopsnet_l_care,3,3500,Case2030,COMPLETED,cuda,1.157,False
m1_myopsnet_l_care,3,3500,Case2031,COMPLETED,cuda,1.219,False
m1_myopsnet_l_care,3,3500,Case3004,COMPLETED,cuda,1.26,False
m1_myopsnet_l_care,3,3500,Case3006,COMPLETED,cuda,1.318,False
m1_myopsnet_l_care,3,3500,Case3011,COMPLETED,cuda,1.171,False
m1_myopsnet_l_care,3,3500,Case3028,COMPLETED,cuda,1.452,False
m1_myopsnet_l_care,3,3500,Case3030,COMPLETED,cuda,1.388,False
m1_myopsnet_l_care,3,3500,Case3031,COMPLETED,cuda,1.395,False
m1_myopsnet_l_care,3,3500,Case3039,COMPLETED,cuda,1.465,False
m1_myopsnet_l_care,3,3500,Case3040,COMPLETED,cuda,1.494,False
m1_myopsnet_l_care,3,4000,Case2016,COMPLETED,cuda,7.399,False
m1_myopsnet_l_care,3,4000,Case2023,COMPLETED,cuda,1.299,False
m1_myopsnet_l_care,3,4000,Case2025,COMPLETED,cuda,1.403,False
m1_myopsnet_l_care,3,4000,Case2030,COMPLETED,cuda,1.086,False
m1_myopsnet_l_care,3,4000,Case2031,COMPLETED,cuda,1.088,False
m1_myopsnet_l_care,3,4000,Case3004,COMPLETED,cuda,1.248,False
m1_myopsnet_l_care,3,4000,Case3006,COMPLETED,cuda,1.443,False
m1_myopsnet_l_care,3,4000,Case3011,COMPLETED,cuda,1.162,False
m1_myopsnet_l_care,3,4000,Case3028,COMPLETED,cuda,1.488,False
m1_myopsnet_l_care,3,4000,Case3030,COMPLETED,cuda,1.331,False
m1_myopsnet_l_care,3,4000,Case3031,COMPLETED,cuda,1.325,False
m1_myopsnet_l_care,3,4000,Case3039,COMPLETED,cuda,1.455,False
m1_myopsnet_l_care,3,4000,Case3040,COMPLETED,cuda,1.472,False
m1_myopsnet_l_care,3,4500,Case2016,COMPLETED,cuda,7.01,False
m1_myopsnet_l_care,3,4500,Case2023,COMPLETED,cuda,1.187,False
m1_myopsnet_l_care,3,4500,Case2025,COMPLETED,cuda,1.475,False
m1_myopsnet_l_care,3,4500,Case2030,COMPLETED,cuda,1.069,False
m1_myopsnet_l_care,3,4500,Case2031,COMPLETED,cuda,0.943,False
m1_myopsnet_l_care,3,4500,Case3004,COMPLETED,cuda,1.24,False
m1_myopsnet_l_care,3,4500,Case3006,COMPLETED,cuda,1.383,False
m1_myopsnet_l_care,3,4500,Case3011,COMPLETED,cuda,1.156,False
m1_myopsnet_l_care,3,4500,Case3028,COMPLETED,cuda,1.527,False
m1_myopsnet_l_care,3,4500,Case3030,COMPLETED,cuda,1.39,False
m1_myopsnet_l_care,3,4500,Case3031,COMPLETED,cuda,1.333,False
m1_myopsnet_l_care,3,4500,Case3039,COMPLETED,cuda,1.508,False
m1_myopsnet_l_care,3,4500,Case3040,COMPLETED,cuda,1.437,False
m1_myopsnet_l_care,3,5000,Case2016,COMPLETED,cuda,7.83,False
m1_myopsnet_l_care,3,5000,Case2023,COMPLETED,cuda,1.758,False
