JOBID|USER|NAME|PARTITION|STATE|TIME|TIME_LEFT|NODES|NODELIST(REASON)|TRES_PER_NODE
61474054|pawagh|5|a100-gpu|RUNNING|4:08:41|1-07:51:19|1|g141605|gres/gpu:1
61474053|pawagh|2|a100-gpu|RUNNING|4:41:43|1-07:18:17|1|g141608|gres/gpu:1
61271768|mayayin|dualcycle_stn|a100-gpu|RUNNING|2-08:19:03|2-15:40:57|1|g141607|gres/gpu:nvidia_a100-pcie-40gb:1
61483063|xuejun1|effsweep_breiman_4feat_additive_es100|a100-gpu|RUNNING|33:55|11:26:05|1|g141602|gres/gpu:1
60995591|harrisbl|gridsearch_agentvit_test|a100-gpu|RUNNING|13:25:12|1-18:34:48|1|g141604|gres/gpu:1
60995590|harrisbl|gridsearch_agentvit_test|a100-gpu|RUNNING|14:17:55|1-17:42:05|1|g141604|gres/gpu:1
60919837|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|15:39:14|20:20:46|1|g141607|gres/gpu:1
60919836|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|15:43:58|20:16:02|1|g141605|gres/gpu:1
60919835|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|15:48:20|20:11:40|1|g141601|gres/gpu:1
60919834|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|16:43:00|19:17:00|1|g141606|gres/gpu:1
60919833|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|16:45:01|19:14:59|1|g141606|gres/gpu:1
60919832|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|17:07:57|18:52:03|1|g141606|gres/gpu:1
60919831|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|17:17:23|18:42:37|1|g141601|gres/gpu:1
60919830|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|17:37:18|18:22:42|1|g141607|gres/gpu:1
60919829|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|18:41:46|17:18:14|1|g141602|gres/gpu:1
60919828|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|18:55:37|17:04:23|1|g141608|gres/gpu:1
60919827|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|19:01:21|16:58:39|1|g141604|gres/gpu:1
60919826|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|19:22:26|16:37:34|1|g141602|gres/gpu:1
60919825|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|19:29:36|16:30:24|1|g141608|gres/gpu:1
60919824|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|19:32:46|16:27:14|1|g141601|gres/gpu:1
60919823|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|20:12:57|15:47:03|1|g141605|gres/gpu:1
60919822|gsonw|gridsearch_agentvit_test|a100-gpu|RUNNING|1-00:48:27|11:11:33|1|g141603|gres/gpu:1
61352759|nanijin|bcp1215a42_a100|a100-gpu|RUNNING|1-00:48:27|23:11:33|1|g141603|gres/gpu:1
61352997|nanijin|bcp1215a42b37_a100|a100-gpu|RUNNING|1-00:48:27|23:11:33|1|g141603|gres/gpu:1
61396977_[89-259%2]|neelap|atp1a3_wt_5ns|a100-gpu,l40-gpu|PENDING|0:00|45:00|1|(JobArrayTaskLimit)|gres/gpu:1
61494416|srpandey|multimodal_notime|l40-gpu,a100-gpu|PENDING|0:00|6-00:00:00|1|(AssocGrpGRES)|gres/gpu:1
61427927|nanijin|bcp1447_1in_v_b2_r2d|volta-gpu|PENDING|0:00|2-00:00:00|1|(AssocGrpGRES)|gres/gpu:1
61427929|nanijin|bcp1215a42_v_b2|volta-gpu|PENDING|0:00|2-00:00:00|1|(Dependency)|gres/gpu:1
61427928|nanijin|bcp1215_v_b2|volta-gpu|PENDING|0:00|2-00:00:00|1|(Dependency)|gres/gpu:1
61427926|nanijin|bcp1215a42b37_v_b2|volta-gpu|PENDING|0:00|2-00:00:00|1|(Dependency)|gres/gpu:1
61486641_[20-31]|olsonlc|pool2_gpu_v100|volta-gpu|PENDING|0:00|3-00:00:00|1|(Resources)|gres/gpu:1
