phase,checkpoint_name,checkpoint_sha256,all_44_fresh,hashes_match,calibration_frozen,finite,no_t2_exact_zero,eligible,case_count,scar_positive_nonempty_rate,t2_edema_positive_nonempty_rate,edema_positive_nonempty_rate,scar_median_volume_ratio,edema_median_volume_ratio,subgroups_complete,validators_pass,exclusion_reason,exclusion_reasons
d1_spatial_br2,checkpoint_best,534ffdfbe50956c0c039fbf71a48a7ae31fe6e00ac4ec4106bfbf1c93ab74872,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_24540,5f086da6016bae21f0e144e4eed7a494e9e8256f31d162cb77350f3aff190ba7,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_10225,5fb3e7fc2cf71105a18dd63103c9517a80455c55e33053f576d4b0b1a31c00c9,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_validation_step_14000,601c047dba2f242464d9a02a7e90536bee9c416346cea81cf93136445a4ebfac,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_4998,66a5d18bdcbdb07d6789afd7c252823ad28b1ae9f3103bfee42d1939b79f9d08,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_validation_step_18000,682486d46d5de926f1e13bb304ebdfc0592137a1e69eb0659eaca2bf521f7779,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_validation_step_12000,69dd5d4738204490ecab17ee08aeb01becd49aa69ccbbec5d9156ecfa7df1b92,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_13328,6a43f3a620bacff4a7658f4d0d88a2fd276f12540308394a9029588b66c8f99f,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_validation_step_10000,6a62db54c70c6fe85d1f0420cacac5624065dfd31c7f737b14c1ddfbeed997f8,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_23324,6b3448061fd30d66716aeea71612e9adb8f2832d28c40ebe9ec916c62476cbe6,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_12000,6d7444bf617f5e2b6d647558ea23d7de5e1ef31ae5e50ae9265b69e90abe9769,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_24990,6dbb62356a3627e7240dc3b94e833e0008a6617aa871faa4a7917d2463cda02f,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_12270,70ab13b2a909a880beec36cbf7f43e2b7c264c89bdb4b2b83a31b6b6d0ece8fd,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_16660,74f506b5d116ed8bfa9a550fd1b3ebc219b3ad4117f97ce794b290045a3ec494,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_3332,75998c54c6b6a4ab9e2427dabf6f0abd2ea5dcd386b30d82e0a17e9c1bfc4dd1,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_19992,78e3fcbace5738249e3ae0beb99093a1cf6e3f319f9391786d92ba70a8e66378,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_8330,7ca688a97b1d5976a4384ac2c33b57626d264f2dab4e74171a8d7ec547f9b97d,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_18405,7d516f026a4764a3f422a3d9610abe987f8eb7eb9d5f63a9a0db339b805f6813,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_3332,7f9f1cddb9e3c2e6eba841e17b639ff431489675594242597116c7049b2b3f2d,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_final,8305e20d06ce3508429c93b4beda00e381906b975dd4232aca066639739d391d,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_1666,83e0a86c3bbdd4f68e1c386934e36d2c2afa128ff9638999c43c8821190b5b44,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_9996,84b66805218fed3ed33ad7fbeb24331f594bd0da977a03e5794f5c8b9a92e0b3,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_45000,888154ed44ae6ad16eb4be323c95a9057fae318a9f3dfbb9d37a095652272b0b,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_best,8bddcbbd760babe5c3241915ca925cf47cc36bf27128eb682ed3ea043a4d1ae4,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_final,8df2f6de301b4dad3a728d7bb3d58ca2d3eda81d9982b4aad0e0c85bfde86bd4,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_16360,8f06afe9984d24ea776254cce180d33ab94748665e4cdf4d58c9c3285d518087,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
